cumshow,director.mean,weight3,°ü¶÷°´¼ö,actor.mean,br,rankNum,popular,watchnew,nationnew
33164,500044.5,6,635177,2025874.715,2,4,0,0,KOREA
555,10474.33333,3,28364,24055,3,0,0,1,ETC
22341,878025.4286,4,494097,3845581.714,1,1,0,1,KOREA
7350,502049.6667,5,522344,374615.8889,1,0,0,1,ETC
584,64858.6,3,60980,1516594.326,3,0,0,2,ETC
22846,416611.25,4,511931,987435.0595,3,2,1,1,ETC
3196,61111.66667,5,173001,76130.22222,3,0,0,2,USA
4557,51533.66667,2,28085,768769.0556,3,0,1,1,USA
31284,851230,6,689071,364626.0952,3,7,0,1,USA
58087,34899,12,2537438,1966597.238,3,11,0,2,ETC
11110,2313215.8,5,3273873,1396462.611,1,1,1,1,USA
117147,3291572.167,8,4018341,1405419.81,2,23,1,1,KOREA
41181,936902.5,18,1721772,1330650.9,3,14,1,1,USA
3072,273167,4,80839,59363.5,3,0,0,1,ETC
830,42879,2,42879,691625.1955,3,0,0,2,ETC
1065,31670,3,55784,677106.8857,3,0,0,2,ETC
32432,1278885,6,1278885,2458921.241,3,5,1,1,ETC
18538,355009.8571,5,520478,681288.0583,1,0,0,1,USA
1101,120053,1,46793,175823.975,3,0,0,2,USA
2060,28452,2,28452,28452,3,0,0,1,ETC
12611,205544,2,205544,1307373.614,3,0,1,1,USA
59858,1298733.1,11,1855489,564187.9048,3,8,0,1,KOREA
196,72452.75,1,126839,144944.5185,3,0,0,1,ETC
171,35578,0,27070,4011619.387,3,21,1,1,KOREA
27345,945172,11,945172,887722.5111,2,0,0,1,USA
1719,78440,2,78440,86530.24074,3,0,0,2,ETC
10214,493462.5,4,368195,1590609.759,3,0,0,2,ETC
10773,1405459,2,155368,936826.6646,3,0,1,0,USA
624,250887.1667,0,35368,10910.52778,3,0,0,0,ETC
1382,66562,4,66562,702971.4722,3,0,0,2,ETC
5090,71480,2,71480,71480,3,0,0,1,ETC
52574,2238006.667,6,1387779,1779907.051,3,18,0,1,KOREA
11795,690391.3333,4,189405,1637184.137,3,6,0,1,KOREA
18664,1240,5,482784,1247306.978,3,4,0,1,KOREA
1451,79400,3,79400,1146508.889,3,0,0,2,ETC
3133,58776.5,5,109137,717500.6667,1,0,1,2,USA
1066,56539,2,56539,697503.36,3,0,0,2,ETC
45157,989035.25,8,1208081,1485939.248,2,13,1,0,KOREA
1215,187861,1,89615,277288.7667,3,0,0,2,KOREA
2538,45231.4,4,66549,90020.64815,3,0,0,0,USA
278,26924.5,0,35360,106477.5,3,0,0,1,USA
8281,983571.5,3,203729,1578083.625,3,0,0,0,KOREA
22027,308457,4,308457,356455.5833,2,7,0,1,KOREA
100,681841.4444,0,12396,1751778.79,3,0,1,0,USA
4018,39302,2,41269,211094.7981,2,0,0,1,USA
99,163035.5,0,295214,496862.5,2,0,0,1,USA
77,441337,0,17432,830071.6852,3,0,0,1,KOREA
9013,502049.6667,5,450046,422051.5694,3,0,0,1,ETC
19859,435100,4,435090,2244879.419,2,0,1,1,KOREA
143,1767962.143,0,35777,923118.4286,3,0,1,1,ETC
55648,564722.6667,6,2108561,5238128.861,2,13,0,1,KOREA
36466,587937.6667,8,1730771,1928212.611,2,10,0,2,USA
21429,1206595,4,668977,1418259.699,3,7,1,1,USA
290,24247,0,24247,23327.16667,3,0,0,0,ETC
60622,4476200.5,9,2515501,1746268.759,1,15,1,1,KOREA
3864,933063.6667,5,135478,143958.7,3,0,0,2,KOREA
1890,67027,4,67027,1120912.741,3,0,0,2,ETC
8329,312161,7,292495,132747.4333,2,5,0,2,USA
10413,141713,6,276264,355575.5603,3,21,0,2,ETC
14025,2179529.25,2,351276,1415245.5,2,3,0,1,KOREA
343,19399.28571,0,65193,481195.125,3,0,0,1,ETC
3469,2287987.333,2,134077,462860.8466,3,0,0,0,USA
231,72452.75,1,32955,683897.4123,3,0,0,2,KOREA
580,18247,2,18247,536171.25,3,0,1,2,ETC
24777,470135,4,470135,968761.7048,1,8,1,0,KOREA
18873,267966.5,10,449518,823960.1825,2,0,0,1,USA
310,1874053,0,34777,2313375.458,3,0,0,1,USA
379,8630,2,8630,123014.0278,3,0,0,2,ETC
4860,75740,7,153145,1999977.963,3,0,0,2,KOREA
94375,1122622.375,9,2256691,1258413.786,2,15,1,1,USA
5139,127224,2,38310,37402.03333,2,0,0,1,USA
3399,92079.5,1,29011,711106,1,0,0,0,USA
161107,5966158,12,8676320,5822955.421,1,25,1,1,USA
9445,14493,7,260514,412977.4667,3,0,0,1,KOREA
5743,1072197.875,3,97804,1458444.083,1,0,0,1,KOREA
23103,357736,5,357736,416388.2667,3,7,0,1,USA
616,21470,4,26670,543690.4444,3,21,0,2,ETC
83,16341.71429,0,25234,12588.375,3,0,0,1,ETC
4144,250913.5714,2,95156,760614.7778,3,0,0,1,USA
2824,216527.4,2,36342,157173.4,3,0,0,0,USA
168,15261,0,15261,76182.77778,3,0,0,1,USA
7326,197225,9,197225,473602.3333,3,0,0,1,KOREA
5667,301915.1429,4,282565,121533.3016,3,0,0,2,ETC
7253,818524.6667,2,103565,227766.2275,3,0,1,1,USA
13159,483248.5,4,305131,883174.8889,3,0,1,1,USA
594,1767962.143,2,27482,923118.4286,3,0,1,1,ETC
1349,402880.1493,0,27224,920369.9656,3,0,0,1,ETC
261,30719,0,30719,1184598.5,3,0,0,1,ETC
50,608942.8143,0,1733,2871384.829,3,0,0,0,KOREA
52615,1840796,9,1635003,1081356.563,1,7,0,1,KOREA
19487,383336,4,383336,2286012.617,3,6,0,1,KOREA
6761,75,2,92358,1173141.944,3,0,1,1,ETC
25973,251067.5,9,627424,285758.319,2,0,0,1,USA
5994,888535.1667,4,101303,849686.7148,3,0,1,1,USA
532,299339.9584,1,38224,11141.16667,3,0,0,1,ETC
264,52625.25,0,58616,207423.2963,1,0,0,2,USA
533,30525,2,30525,661765.5926,3,0,0,2,USA
103,1268294,0,29233,29233,3,0,0,2,KOREA
7478,1892206,2,159948,346939.6429,2,0,0,0,USA
95451,2703409.143,14,4945486,1756422.332,2,16,1,0,USA
255,12420.66667,0,27256,18087.5,3,0,0,1,ETC
2004,215636.1429,0,47226,216543.4349,3,0,0,1,USA
40515,790979.5,6,1153201,1314462.889,3,10,0,1,KOREA
565,64858.6,2,58619,1516594.326,3,0,0,2,ETC
1605,288669.4,1,41247,121835.0625,3,0,0,1,ETC
38371,1878714.444,13,1175737,3441503.852,3,0,0,1,KOREA
40896,579242,10,1430885,1882925.208,1,15,0,1,KOREA
14590,487916,6,487916,258435.5833,1,3,0,2,USA
5220,501078.4,2,58454,731650.6528,3,0,0,2,ETC
195,212658.3333,1,35666,158798.6296,3,0,0,2,KOREA
1545,356617,6,81136,698046.6667,3,0,0,2,ETC
38264,813407.75,10,48832,455872.6111,1,14,1,1,USA
38015,849606.2857,7,2611969,945250.7524,2,7,1,1,USA
6061,1637398.25,3,89560,888107.5714,3,0,1,1,ETC
5489,54972,2,54972,54972,3,0,0,1,USA
2912,46498,2,46498,29475.9,3,0,0,1,ETC
2787,3505979.111,2,4175526,1839435.381,2,0,1,1,USA
69780,935119.1111,11,2718160,1158987.775,2,27,0,1,USA
761,32624,2,32624,861872.6389,3,0,0,2,ETC
34772,766383.75,6,910345,1122146.542,3,7,1,1,USA
444,4641.5,0,16336,380378.4444,3,0,0,1,USA
10421,587156.25,2,149629,746478.2037,3,0,0,1,KOREA
1105,111598.6667,0,34225,287415,3,0,0,1,KOREA
20196,921140.6667,6,415714,472984.6841,2,6,1,1,ETC
11318,409847,9,409847,158232.1667,3,0,0,1,ETC
45851,2539790.2,7,1204600,1718773.762,1,15,0,1,KOREA
148636,6880535,21,6880535,2972884.934,3,35,1,0,KOREA
34653,888836,6,888836,521512.5833,2,8,0,1,USA
2259,1034944.25,5,139392,29,3,0,0,2,ETC
245,689003.5,1,446054,307999.5,3,0,0,2,KOREA
126351,3551232.25,10,7147924,3974902.183,1,28,1,1,KOREA
501,29204,2,29204,99181.61111,3,0,0,2,ETC
12430,163035.5,6,355767,156346.3333,3,4,0,1,USA
461,68581,2,94825,1587180.537,3,0,0,1,KOREA
60,555114,0,38073,684002.0041,3,0,0,2,KOREA
30033,820995,11,820995,1409340.46,2,7,0,1,USA
20621,1278270.625,2,323628,2481589.696,2,6,0,1,KOREA
5622,70411,2,87673,237788.0667,3,0,0,1,ETC
21728,1422596.333,9,562545,1026065.111,3,8,0,1,ETC
5045,203185,4,203185,483027.8393,3,0,0,2,ETC
7264,3726313.571,2,145955,544868.125,3,0,1,1,USA
4034,2591311.833,3,1762733,2658208.667,2,0,0,1,KOREA
79,1767962.143,0,730945,923118.4286,3,0,1,1,ETC
4615,39432,2,76647,668186.9048,3,0,0,1,USA
5379,230068,9,230068,1208401.334,3,0,0,2,ETC
5919,22855.25,2,68902,684305.5635,3,0,0,1,USA
1280,91212,3,91212,74893.25,3,7,0,1,ETC
25892,2254675.667,4,401550,1514102.026,2,7,1,1,USA
2384,123958,3,123840,123958,3,0,0,2,KOREA
21171,546967,7,535669,536388.5833,3,5,0,2,ETC
96010,4524805,11,3984814,1576490.067,1,20,0,2,USA
7139,36848.71429,2,212607,247944.6905,3,1,1,0,ETC
89341,23865.75,13,14490,325723.5833,3,28,0,1,KOREA
6073,440843,4,330725,380661.85,3,0,0,2,ETC
9366,337021,8,336961,209013.6111,3,0,0,1,ETC
24245,1552420.667,4,446780,2469204.243,2,0,0,1,KOREA
15437,1060233.125,2,169983,3498670.683,3,7,0,1,KOREA
13029,225940,8,429933,198203.9028,3,0,0,2,KOREA
44963,1535376.286,10,1928605,957183.3889,2,12,0,1,USA
66753,7913817,7,4452755,2299966.139,2,18,1,1,KOREA
11890,47,4,295096,196431.2,2,0,1,1,USA
27459,779525.75,3,645834,1537476.577,1,7,1,1,KOREA
16968,1606106.143,2,242737,2323006.798,3,1,1,0,KOREA
7566,926458.5,2,102170,1502919.222,2,0,1,1,KOREA
151799,5067505.667,14,9707119,4337176.059,2,21,1,1,KOREA
285,15283,0,15283,497612.4444,3,0,0,1,USA
1945,88333,4,65895,707330.2574,3,0,1,2,ETC
10378,1380430.667,3,627586,1171477.667,1,0,0,1,KOREA
2949,92792,2,92792,82914,3,0,0,1,ETC
1042,46219,3,56860,57874.5,3,0,0,2,KOREA
6959,1310319.667,2,60365,3347407.3,3,0,1,0,KOREA
6351,315,8,176539,48260.16667,3,0,0,1,USA
1304,378396.1429,2,98231,540322.131,3,0,0,1,KOREA
2147,22199,1,24983,1179260.899,3,0,1,1,ETC
5029,206517.3333,4,202538,199602.0444,3,0,0,2,ETC
77,72452.75,0,119360,707762.581,3,0,0,1,ETC
17282,983571.5,4,234829,2163733.413,3,0,0,1,KOREA
280,1383629,2,246109,497175.25,2,0,0,2,USA
1126,25260,4,96756,96756,3,0,0,1,ETC
284,33041.5,1,16340,679497.4446,3,0,0,2,ETC
8,5955,0,5526,454854.619,3,0,0,1,KOREA
9245,183032.5,6,323730,439303.4222,2,0,0,2,USA
54942,433778.125,11,1202168,1808434.516,1,22,0,1,KOREA
45054,918065.1667,6,1129609,1753200.347,3,13,0,1,KOREA
13754,409345,12,409345,303671.7857,3,0,0,1,ETC
5,3068,0,3068,3068,3,0,1,1,ETC
26,373818.5249,0,2529,788934.1481,3,0,0,2,KOREA
13681,288016,4,288016,2092907.931,3,9,0,1,KOREA
10001,770366.6667,9,427764,589630.1667,3,0,0,2,USA
779,1582091.556,3,125800,1210318.658,1,0,1,2,USA
842,15549.5,0,30276,441486,3,0,1,0,ETC
32421,266431.6667,6,758195,1261723.921,2,8,0,1,KOREA
67919,1624509.486,11,2421197,2317216.671,3,14,0,1,KOREA
96575,35578,13,7050475,4011619.387,1,21,1,1,KOREA
20291,886671.5082,5,1402816,662147.3849,2,7,0,1,USA
12610,274876.6667,2,250861,1955684.617,1,1,0,0,KOREA
41045,1143741,7,1307226,1619519.611,2,8,1,1,USA
7797,135971.6667,2,189620,127068.1,3,0,0,0,USA
1029,26508,0,26508,26508,3,0,1,1,ETC
32820,1522798,6,1111284,869732.7778,2,14,0,1,USA
39523,1003406,9,1003406,454571.3667,3,14,0,0,USA
70364,4518208.75,14,3849129,2271687.446,1,16,0,1,KOREA
5965,69529,2,69529,802415.0852,2,0,1,1,USA
2408,3015819,4,83319,965139.8889,3,0,0,2,KOREA
4693,148760,4,148760,478632.7148,2,0,0,2,USA
3036,36848.71429,2,28723,32563.03571,2,0,1,1,ETC
95360,896286.3333,13,5599665,2001512.236,1,27,0,1,KOREA
5332,178598,7,178598,350629.625,3,0,0,1,USA
764,26185,2,26185,355285.0952,3,0,0,2,ETC
33873,1522798,7,1934312,1397646.694,2,21,0,1,USA
3419,109931.6667,4,119201,227281.4167,3,0,0,2,ETC
36446,366282,6,731584,634585.7417,3,13,1,1,USA
3992,249278.3333,2,53121,533115.6614,3,0,0,0,ETC
2674,122039,3,122039,1114950.505,3,0,1,1,USA
44268,776254.3333,10,1069962,2455388.731,2,12,0,1,KOREA
16380,447220,9,447220,891153.8968,1,4,0,0,USA
3194,49978.85714,2,34330,2044106.111,2,0,0,1,USA
6875,612482.5,7,320559,217766.875,3,0,0,2,ETC
15071,174629.5,4,340936,2025641.4,2,0,0,1,KOREA
23322,267707.5,4,612328,3021386.067,3,0,1,1,USA
10632,226767.75,8,608552,914499.2768,3,0,0,1,USA
3027,2282089,3,579364,829372.0787,3,0,0,2,ETC
2004,311357.1002,2,56959,952,3,0,0,1,USA
8556,53032.5,2,96579,427178.6111,3,0,1,1,USA
3298,1800440.857,0,46619,2187114.125,1,0,0,1,KOREA
3391,301915.1429,2,215993,2390947.517,3,0,0,2,ETC
19654,165394.2222,3,501486,675820.7778,2,6,1,1,USA
1042,41031.25,0,18667,1080748.995,3,0,0,0,KOREA
19336,257348.5,9,513202,1511413.286,1,6,1,1,USA
29699,1253337,5,511369,2375621.611,2,7,0,1,KOREA
7160,1019816,4,1019671,667398.375,3,0,0,1,USA
315,18354.5,2,23395,747841.4286,3,0,0,2,ETC
1803,55257.75,2,99803,81999.58333,3,0,0,1,ETC
625,14687,0,14687,2389445.861,3,0,1,1,ETC
1477,157699.6,1,859337,407683.1333,3,0,0,1,USA
2088,64642,4,64642,1083615.533,3,1,1,2,ETC
81801,3784630,13,3317184,2094826.5,2,20,1,0,USA
78202,1878714.444,8,2359273,2678429.63,3,22,0,1,KOREA
1855,36839.66667,2,48051,2212924.87,3,0,0,1,USA
3002,195054.5,2,34593,1885033.5,3,0,0,1,USA
84528,1547759,9,3049728,1254362,1,14,1,1,USA
3046,315080.5,3,128472,367029.3313,3,0,0,1,ETC
87560,2592791.5,28,3592365,1432016.643,3,20,0,1,USA
2711,56316,2,56316,257248,2,0,0,1,ETC
28862,708967,6,1898220,799761.2444,2,5,1,1,USA
647,43712,0,43712,39386.25,3,0,0,1,ETC
1043,53970,4,45486,79983.33333,1,0,0,2,USA
42084,2591311.833,4,1373342,3714262.167,2,7,1,0,KOREA
162675,1460263,12,5446379,1953674.761,1,36,1,1,USA
86007,3726313.571,8,2614234,1370304.167,1,18,1,1,USA
7347,206517.3333,6,332708,234300.9352,3,0,0,2,ETC
24175,11735,8,476653,1610963.858,1,6,0,1,KOREA
5900,24395.4,2,47088,464398.3944,3,0,1,1,USA
155387,1408449.286,15,6975571,3114002.302,2,34,0,1,KOREA
294,278260,0,16108,12817.55556,3,0,1,1,ETC
2792,138855.5,2,260163,240806.4683,3,0,0,2,USA
260,549904,1,549904,678732.2222,3,0,0,2,ETC
1294,27941.5,4,48931,48931,3,0,0,1,USA
1010,1874053,0,30379,306217.162,3,0,0,1,USA
292,7011,0,7011,232266.5,3,0,0,0,ETC
289,24079,0,32021,6678.416667,3,0,0,2,USA
11847,22322,7,300898,2520347,3,0,0,1,USA
2997,33315,0,33315,682503.8148,3,0,0,1,ETC
164,12467,0,11888,238018.437,3,0,0,1,USA
35038,700351.5,4,764072,1599580.481,1,7,1,1,USA
33072,647305,6,647305,1173904.232,3,14,0,1,KOREA
8067,46893.5,6,175673,60018.77222,3,0,0,1,ETC
51124,1971873,6,2051279,1084302.225,1,13,0,1,KOREA
9277,276379,4,276379,501559.5873,3,0,1,0,USA
22,58197,0,58197,29121,2,0,0,1,ETC
14858,207677.3333,4,331886,224758.6667,2,0,0,1,USA
3580,141351,4,141351,47340.25,3,1,0,2,ETC
4554,71362,2,71362,1142266.861,3,0,0,1,USA
293,27908,0,27908,1056384,3,0,0,1,KOREA
37987,1777029.25,11,2520700,1405334.278,2,0,0,2,USA
16260,142062.5,4,551897,835508.6667,3,7,1,1,USA
643,26369,2,30467,839501.9306,3,0,0,2,ETC
4308,135874,3,135874,86533.42857,3,0,1,1,USA
1947,301915.1429,3,300477,336036.1964,3,0,0,2,ETC
2118,664364.3333,1,55586,890577.9,3,0,0,1,USA
241,1606106.143,0,1925227,474447.2708,3,0,0,0,USA
369,1152914.6,2,340043,857800.981,3,0,0,1,USA
7,3325,0,6491,51978.66667,3,0,1,1,ETC
380,250206.3333,0,979344,680425.6667,3,0,0,1,ETC
88655,2263312,11,4288750,4157426.2,1,20,0,0,KOREA
450,107389.6,0,54662,1391016.875,3,0,0,1,KOREA
1110,53970,5,62454,96156.09722,3,0,0,2,USA
1245,20514,0,22752,830177.119,3,0,0,1,KOREA
16618,975746.3333,9,676033,355568.4167,2,2,0,2,USA
64837,3505979.111,8,2792705,1452219.267,2,13,1,1,USA
4461,97286.5,2,112237,136262.0833,3,0,0,0,USA
7243,157699.6,2,177616,830151.2222,3,0,0,1,USA
9210,645834,4,177439,1800204.496,3,0,0,1,KOREA
16428,148321.2,7,322664,449094.5079,2,0,1,1,USA
697,244745,0,17943,939098.25,3,0,0,1,ETC
37609,1084925.8,6,1157472,2027580.522,1,7,1,1,USA
3685,212658.3333,7,117446,222394.4074,3,0,0,2,KOREA
68325,582953.6667,9,2169109,1034965.911,2,22,1,0,USA
5333,111598.6667,4,125562,125562,3,0,0,1,KOREA
44654,2870137.5,11,2084844,2357844.349,3,13,1,0,KOREA
6374,35317.66667,3,81964,656381.7989,3,3,1,1,USA
5528,2199537,2,118621,2463726.5,3,0,0,0,KOREA
4424,66883,2,66883,2042638.648,3,0,0,1,KOREA
535,1066739,0,13383,2531659.435,1,0,0,1,KOREA
197,14236,1,14236,1099652.019,3,0,0,2,ETC
3920,143393.5,1,58393,3014290.759,3,0,1,1,USA
246,15833.8,2,16660,679283.159,3,0,0,2,ETC
6410,61398.33333,2,139841,356726.7222,3,0,0,1,ETC
17382,641271.2596,5,353517,1433397.422,3,0,0,1,KOREA
2945,151711.4286,2,121400,1022660,3,0,1,0,USA
714,267707.5,0,20444,467238.4333,3,0,0,1,USA
2162,109358,5,109358,134304.4,3,0,0,2,ETC
5831,383083,12,215205,555154.8,3,3,0,2,ETC
927,24931.33333,0,32606,24931.33333,3,0,0,1,USA
8432,43008.5,2,79705,339785.3857,3,0,0,0,USA
3199,19954.66667,2,46977,1307226,3,0,0,1,USA
14826,273167,8,465495,262152.1111,3,8,0,1,ETC
116219,2549318.2,13,5653270,3159253.907,1,28,1,1,KOREA
3832,148691,2,61964,772421,3,0,0,1,USA
4936,83258,4,83258,564996.3194,3,0,0,1,USA
55380,2138425,9,2138425,2327446.5,2,14,0,1,USA
7905,130499,4,130493,2628885.741,3,0,0,1,KOREA
1648,82488,0,25612,1140585.867,3,0,0,1,USA
780,64858.6,3,69918,1516594.326,3,0,0,2,ETC
45135,896785,6,1362634,3256377.037,2,7,0,1,KOREA
18204,3331993.2,9,827040,307999.5,2,4,0,2,KOREA
31974,864509.5,4,1019285,407073.7452,1,6,1,1,USA
8008,58783.5,2,97022,1250341.75,3,0,1,1,USA
454,21273.5,1,27345,684070.3298,3,0,0,2,ETC
562,41031.25,0,18151,1926324.714,3,0,0,0,KOREA
505,478262.25,0,45349,241536.6852,3,0,0,1,USA
27028,61821,4,459986,1586072.667,3,7,1,1,USA
115569,3241550.5,12,4667391,1522410.405,2,21,1,1,USA
136300,2808525.1,14,7500457,5293835.514,2,22,1,1,KOREA
2969,137052,6,137052,136494.75,1,0,0,2,ETC
5704,95680.66667,2,47190,1869502.017,3,0,1,0,USA
16289,63701.25,5,226318,1437223.2,2,0,0,1,USA
113136,1500696,13,3653238,1849438.07,2,20,1,1,USA
27611,3241550.5,6,858406,522312.3407,2,7,1,1,USA
40217,454394.5,7,823624,422529.4563,3,14,1,1,ETC
8,6347,0,6347,6347,3,0,0,2,ETC
10069,111458.25,2,13961,879449.2917,3,0,0,1,KOREA
182372,3767057.5,15,12189195,8163589.556,2,34,0,1,KOREA
706,340104.5232,0,58644,309426.7083,3,0,0,2,KOREA
70,1621286,0,24102,1111681.679,3,0,0,0,KOREA
147,19875.75,0,22518,377450.3175,3,0,0,0,USA
63405,490033,11,2588628,2193547.925,1,14,1,1,KOREA
35027,843560.6667,6,1028386,655989.0417,2,6,1,1,USA
142172,469224,14,7817631,3515877.375,1,28,1,1,KOREA
1197,3,6,49958,872528.0913,3,0,0,2,USA
136597,4857458,12,4857152,2621127.704,1,24,1,1,USA
26787,1313098.143,7,848117,1007751.033,1,4,0,1,KOREA
852,12104.66667,0,35429,42628.44444,3,0,0,1,ETC
130,163035.5,0,19627,257353.1667,3,0,0,0,USA
2467,41031.25,3,57110,1003154.619,3,0,0,0,KOREA
99268,2399470.667,10,4584803,1375840.432,3,20,0,1,KOREA
389,49533,0,49533,49533,3,0,0,0,ETC
48798,432532.25,9,1063286,2425079.4,3,17,0,0,KOREA
40968,980908.9972,6,1168782,1191615.522,1,7,1,1,KOREA
107257,3236763.333,10,5317383,2411012.528,2,22,1,1,KOREA
5857,183841,2,77118,1934294.5,3,0,0,1,KOREA
88132,2245488,9,2658589,2404711.222,2,24,1,1,KOREA
53289,1492903,6,1492903,3980692.699,3,12,0,1,KOREA
6325,217257,4,217257,95880.5,3,0,0,1,ETC
3321,167052,5,167052,187490,3,0,0,2,ETC
717,32117,2,32117,445713.3333,3,0,0,2,ETC
17155,793208.3333,4,89,1869910.772,3,1,1,1,USA
20164,295057.5,4,590045,594702.5556,3,7,0,1,ETC
12670,1022509.333,5,553760,515515.8833,2,4,0,2,USA
63502,1367928,11,2735724,3140182.167,1,12,1,1,USA
307,3241550.5,2,4419005,1813633.324,2,0,1,2,USA
198,27392,0,47668,320424.75,3,0,0,1,USA
1103,1886675.75,2,23350,60132.87302,3,0,0,2,ETC
2115,34497.33333,0,46700,25422.41667,3,0,0,1,ETC
21418,975273.6,4,381483,1629675.838,3,6,0,1,KOREA
433,38953,1,101351,79412.28571,3,0,0,2,ETC
10906,149088,2,149088,1169733.995,3,0,1,1,USA
20132,672787.3333,4,475309,1738179.211,1,7,1,1,USA
92397,2806623.3,16,3281376,1783674.661,1,12,0,1,KOREA
1343,20379,2,40375,1131446.528,3,0,0,2,USA
47728,1570964.4,18,2452245,1316809.2,1,10,0,2,USA
33684,818398,6,1163223,402522.9841,2,4,1,1,USA
108,19085,0,15800,24051.25,3,0,0,1,ETC
193,80087.5,1,23647,158798.6296,3,0,0,2,KOREA
204,207677.3333,1,11708,104747.7222,3,0,1,1,USA
51775,1382650,8,1382650,1038272.75,2,21,0,1,USA
4470,154497,10,154497,515958.3333,2,0,0,2,USA
106,25060,0,25060,853066.3056,3,0,0,0,KOREA
734,120921,1,120921,106338.8333,3,0,0,1,ETC
2687,41874.5,2,47108,73472.08333,3,0,1,1,ETC
139914,1431772.143,15,5138330,1543327.741,1,41,0,2,USA
66174,2091600.714,9,2938771,658019.5933,2,15,1,1,USA
54565,1210281.25,10,2601761,817400.0159,1,15,0,2,USA
1662,1149892,0,26651,886223.1333,3,0,0,1,KOREA
7161,1578150.375,2,147031,2783109.12,2,0,0,1,KOREA
107768,4925505.143,7,6592168,6071460.593,1,15,1,1,KOREA
10,3791512,0,17560,268939.6667,3,0,0,1,KOREA
146,294651.2917,0,29224,11158.18519,3,0,0,0,ETC
4215,50633,2,50633,42327.5,3,0,0,1,USA
4543,72071,2,72071,124119.0806,3,0,1,1,USA
21321,148321.2,5,634150,2741391.411,3,6,1,1,USA
6886,280539,8,280539,826590.1435,1,4,0,2,KOREA
7787,301915.1429,5,509555,99970.3,3,0,0,2,ETC
72121,1122622.375,6,1786388,1144045.213,2,14,1,1,USA
567,55257.75,0,53107,1880812.25,3,0,0,1,ETC
2844,46311,2,46311,235634.1389,3,0,1,0,USA
12590,761211.5,4,384791,254628.8571,3,0,0,1,USA
6,10066.5,0,18323,231163.5516,3,0,1,1,ETC
825,878025.4286,0,39032,3479604.222,3,0,0,1,KOREA
3143,1090088,2,69363,1715619,3,0,1,2,KOREA
18364,1722332.286,7,710117,2348962.857,3,0,0,1,KOREA
1583,44750,2,49832,33686.5,3,0,0,1,ETC
162,9097,0,9097,9097,3,0,0,0,ETC
643,15841,2,31638,112118.9444,3,0,0,1,ETC
25468,444927,5,444927,1803756.389,2,2,1,1,USA
4232,80881,5,94983,51605.23333,3,0,1,1,ETC
1151,197842,0,220294,579940.1,3,0,0,1,USA
2093,21692,2,21692,551528.7553,3,0,0,1,USA
5621,888535.1667,2,74828,591125.8083,3,0,0,1,USA
1465,35934,2,35934,35934,3,0,0,2,USA
83052,972802.9,8,2982230,3254731.724,1,21,0,1,KOREA
12261,235211,3,235211,842929.6857,1,0,1,1,USA
9522,20482.2,4,95542,2615142.894,3,0,0,1,KOREA
